,State,County,Latitude,Longitude,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
44,AL,Macon,32.6010112,-86.6807365,1345,1197,147,373,932,15,23,103,378,442,420,824,225
45,AL,Madison,32.6010112,-86.6807365,32813,28372,4440,24033,6720,943,1270,1054,5464,9979,16314,26484,1463
46,AL,Marengo,32.6010112,-86.6807365,946,907,39,463,471,3,7,202,255,303,186,557,0
47,AL,Marion,32.6010112,-86.6807365,1385,1371,14,1353,13,0,17,146,464,562,209,1014,0
48,AL,Marshall,32.6010112,-86.6807365,5904,5481,422,5623,32,132,159,581,1652,2354,1314,4149,329
49,AL,Mobile,32.6010112,-86.6807365,28181,25305,2875,18168,8318,912,979,2016,8793,10668,6702,20231,1598
50,AL,Monroe,32.6010112,-86.6807365,1336,1214,121,793,386,20,135,63,585,489,196,699,10
51,AL,Montgomery,32.6010112,-86.6807365,16668,14071,2596,7319,8645,215,545,759,3453,5843,6611,11733,449
52,AL,Morgan,32.6010112,-86.6807365,7465,6877,587,6346,786,139,254,546,2464,2530,1925,5148,281
53,AL,Perry,32.6010112,-86.6807365,405,370,33,195,209,0,0,17,273,39,74,66,0
54,AL,Pickens,32.6010112,-86.6807365,1202,1084,116,700,467,3,33,133,516,379,171,760,32
55,AL,Pike,32.6010112,-86.6807365,1917,1751,164,1249,509,62,129,295,561,719,340,1332,119
56,AL,Randolph,32.6010112,-86.6807365,1373,1239,133,1114,236,19,3,127,387,641,216,773,53
57,AL,Russell,32.6010112,-86.6807365,5817,4770,1046,2597,2833,243,218,352,1388,2804,1270,3872,280
58,AL,St. Clair,32.6010112,-86.6807365,6296,5848,448,5475,493,107,267,321,2304,2636,1034,3768,149
59,AL,Shelby,32.6010112,-86.6807365,12648,11578,1069,10723,1492,171,290,430,2354,4445,5416,10765,163
60,AL,Sumter,32.6010112,-86.6807365,481,436,44,154,311,7,14,9,197,162,111,322,0
61,AL,Talladega,32.6010112,-86.6807365,5252,4866,384,3725,1273,88,252,539,1627,2123,961,3281,367
62,AL,Tallapoosa,32.6010112,-86.6807365,2787,2655,131,2224,524,2,36,215,914,926,730,1638,382
63,AL,Tuscaloosa,32.6010112,-86.6807365,10059,8847,1211,6980,2880,121,120,623,3075,3700,2658,6825,349
64,AL,Walker,32.6010112,-86.6807365,3882,3674,207,3578,216,10,75,371,1703,1270,536,2349,191
65,AL,Washington,32.6010112,-86.6807365,961,897,63,478,364,6,111,30,437,364,129,515,24
66,AL,Wilcox,32.6010112,-86.6807365,382,369,12,246,129,0,5,36,133,139,74,133,0
67,AL,Winston,32.6010112,-86.6807365,1376,1339,36,1292,8,31,44,149,700,371,153,656,0
68,AK,Alaska,61.3025006,-158.7750198,65186,56450,8735,49178,3667,3611,10016,2052,14893,29762,18477,51761,3134
69,AK,Aleutian Islands,61.3025006,-158.7750198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,AK,Aleutians East,61.3025006,-158.7750198,144,134,9,67,0,9,72,20,42,51,29,126,7
71,AK,Aleutians West,61.3025006,-158.7750198,283,271,10,153,35,19,84,1,102,118,61,268,1
72,AK,Anchorage,61.3025006,-158.7750198,26958,23082,3875,19566,2075,1681,4330,450,5252,12210,9044,21989,1206
73,AK,Bethel,61.3025006,-158.7750198,631,599,31,126,15,2,486,91,320,166,51,441,87
